"filename", "language", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"d:\Project\ManageHub-App-master\ManageHub\screens\security\SecurityDashboard.js", "JavaScript", 79, 0, 0, 0, 5, 84
"d:\Project\ManageHub-App-master\ManageHub\screens\signIn\Accounts.js", "JavaScript", 146, 0, 0, 0, 3, 149
"d:\Project\ManageHub-App-master\ManageHub\screens\signIn\AdminLogin.js", "JavaScript", 109, 0, 0, 0, 6, 115
"d:\Project\ManageHub-App-master\ManageHub\screens\signIn\SecurityLogin.js", "JavaScript", 98, 0, 0, 0, 7, 105
"d:\Project\ManageHub-App-master\ManageHub\screens\signIn\UserLogin.js", "JavaScript", 206, 0, 0, 2, 8, 216
"d:\Project\ManageHub-App-master\ManageHub\screens\user\Guest.js", "JavaScript", 128, 0, 0, 2, 6, 136
"d:\Project\ManageHub-App-master\ManageHub\screens\user\HomeScreen.js", "JavaScript", 17, 0, 0, 0, 1, 18
"d:\Project\ManageHub-App-master\ManageHub\screens\user\Residents.js", "JavaScript", 145, 0, 0, 2, 7, 154
"d:\Project\ManageHub-App-master\ManageHub\screens\user\UpdateUser.js", "JavaScript", 250, 0, 0, 3, 18, 271
"d:\Project\ManageHub-App-master\ManageHub\screens\user\UserNotice.js", "JavaScript", 170, 0, 0, 2, 9, 181
"d:\Project\ManageHub-App-master\ManageHub\screens\user\UserParking.js", "JavaScript", 210, 0, 0, 0, 7, 217
"d:\Project\ManageHub-App-master\ManageHub\screens\user\home_tabs\CommunityScreen.js", "JavaScript", 326, 0, 0, 0, 6, 332
"d:\Project\ManageHub-App-master\ManageHub\screens\user\home_tabs\PostScreen.js", "JavaScript", 372, 0, 0, 0, 11, 383
"d:\Project\ManageHub-App-master\ManageHub\screens\user\home_tabs\Services.js", "JavaScript", 627, 0, 0, 12, 5, 644
"d:\Project\ManageHub-App-master\ManageHub\screens\user\home_tabs\TrialScreen.js", "JavaScript", 758, 0, 0, 1, 17, 776
"d:\Project\ManageHub-App-master\ManageHub\screens\user\home_tabs\UserProfile.js", "JavaScript", 253, 0, 0, 1, 10, 264
"d:\Project\ManageHub-App-master\ManageHub\screens\user\pay\Dues.js", "JavaScript", 201, 0, 0, 3, 8, 212
"d:\Project\ManageHub-App-master\ManageHub\screens\user\pay\GetBill.js", "JavaScript", 223, 0, 0, 1, 20, 244
"d:\Project\ManageHub-App-master\ManageHub\screens\user\pay\Pay.js", "JavaScript", 23, 0, 0, 1, 4, 28
"d:\Project\ManageHub-App-master\ManageHub\slides.js", "JavaScript", 29, 0, 0, 0, 1, 30
"d:\Project\ManageHub-App-master\ManageHub\src\metro.config.js", "JavaScript", 4, 0, 0, 0, 4, 8
"d:\Project\ManageHub-App-master\ManageHub\test.html", "HTML", 0, 125, 0, 0, 3, 128
"Total", "-", 11154, 125, 42592, 247, 430, 54548
